retailer,brand,model,product_url,image_url,colourway_shown,price_gbp,rrp_gbp,delivery_cost_gbp,landed_cost_gbp,over_budget,condition,one_off,seats,leg_rest,chaise_side,modular,overall_width_cm,overall_depth_cm,overall_height_cm,seat_depth_cm,seat_height_cm,arm_style,fabric,easy_clean,removable_covers,seat_filling,frame_material,warranty,returns_window,delivery_lead_time,review_score,review_count,notes
eBay UK,Raft,Manhattan Style,https://www.ebay.co.uk/itm/398067369614,https://i.ebayimg.com/images/g/AbwAAeSwDs5qL-cl/s-l1600.webp,Grey,208.70,,,208.70,no,second-hand,yes,2.5,none,,,,99,76.5,,,,100% cotton,,,,Wood,,none,,,,"Listed as Raft 'Manhattan Style' 2.5-seater - title implies Raft but the listing does not confirm it is a genuine Raft build, so verify with the seller. Red mark on right arm. Seller in Bromley BR2 (south-east London); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Manhattan,https://www.ebay.co.uk/itm/307131578335,https://i.ebayimg.com/images/g/YcIAAeSwp05qgwQ-/s-l1600.webp,Light grey,389.20,,,389.20,no,second-hand,yes,3,none,,,240,,100,,45,,100% cotton cambric,,,foam,Wood,,none,,,,"Genuine Raft Manhattan 3-seater, 240cm wide. Seller in Pulborough RH20, West Sussex (approx 40 miles from London); buyer to collect from West Sussex, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Melrose,https://www.ebay.co.uk/itm/198148510193,https://i.ebayimg.com/images/g/ckEAAeSwjW9ppWLy/s-l1600.webp,Beige,771.70,2353,,771.70,no,second-hand,yes,3.5,none,,,226,99,90,,,,,,,,Wood,,none,,,,"Genuine Raft Melrose, bought 5 years ago. Seller is also selling the matching larger sofa and a matching Raft footstool and will discount if you take all three - worth asking, as that would add the leg rest this sofa lacks. Seller in Wembley / Harrow HA0, north-west London; collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Melrose,https://www.ebay.co.uk/itm/198148515555,https://i.ebayimg.com/images/g/rqwAAeSwLAVppWQx/s-l1600.webp,Beige,822.70,2380,,822.70,no,second-hand,yes,4,none,,,,99,90,,,,,,,,Wood,,none,,,,"Genuine Raft Melrose 4-seater, bought 5 years ago; one seat insert is worn and seller estimates approx £100 to have Raft or another upholsterer replace it (price reflects this). Matching smaller sofa and footstool also for sale from the same seller, discount if bought together. Seller in Wembley / Harrow HA0, north-west London; collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Lincoln 1.5 (Love Seat),https://www.ebay.co.uk/itm/326616720188,https://i.ebayimg.com/images/g/cWQAAeSwCvNoPwQF/s-l1600.webp,Cloud grey velvet,511.60,,,511.60,no,second-hand,yes,2,none,,,147,108,60,,,,Velvet,,,,,,none,,,,"Genuine Raft Lincoln 1.5 love seat, described as as-new with very little use, comes with 2 Raft cushions. 108cm deep. Too small on its own but could pair with a Raft footstool. Seller in Dunstable LU6 (approx 35 miles from London); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,New York,https://www.ebay.co.uk/itm/227482732755,https://i.ebayimg.com/images/g/Qz8AAeSwIVVqeIwn/s-l1600.webp,Brown,260.70,3267,,260.70,no,second-hand,yes,4,none,,yes,,99,80,,,Wide retro square,,,,mixed,Wood,,none,,,,"AUCTION listing (price shown is the current bid, not a fixed price) - genuine Raft New York 4-seater modular, 2 years old, no stains rips or tears. Wide retro square arms and a feather/down/foam/fibre blend fill: closest arm-and-fill match to the Loft brief in this list. Must be dismantled to leave the property. Seller in Littleport, Cambridgeshire CB6 (over 60 miles from London); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,3-seater pair (one with chaise & sofa bed),https://www.ebay.co.uk/itm/127951610102,https://i.ebayimg.com/images/g/NLQAAeSwlelqRQzY/s-l1600.webp,Grey Romo linen,999.00,,,999.00,no,second-hand,yes,3,chaise,,,235,,67,,,,Romo linen,,,,,,none,,,,"Two Raft 3-seaters sold together, one with a chaise and a sofa bed inside; seller paid over £7,000 for the pair and will consider selling separately. A few lighter patches where the fabric was cleaned. Available for collection from 24 August. Seller in Cromer NR27, Norfolk (over 60 miles from London); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,(model not stated),https://www.ebay.co.uk/itm/326315136209,https://i.ebayimg.com/images/g/BhcAAOSwJQBnG2at/s-l1600.webp,Grey,1536.70,,,1536.70,yes,second-hand,yes,3,chaise,reversible,,200,100,60,,,,100% linen,,,,,,none,,,,"Genuine Raft L-shape, model not stated by the seller; the L section is interchangeable side to side. Over budget at this asking price. Seller in Caterham CR3, Surrey (approx 15 miles from London); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Lincoln (sofa bed),https://www.ebay.co.uk/itm/377182589513,https://i.ebayimg.com/images/g/8LUAAeSwNF5qBNnk/s-l1600.webp,Black,1638.70,,included,1638.70,yes,second-hand,yes,3.5,none,,,234,108,90,,,,100% cotton,,,,Wood,,,2-3 days,,,"Genuine Raft Lincoln 3.5-seater with a sofa bed mechanism, 234 x 108 x 90cm. Over budget, and no chaise or footstool. Seller in London W5 (Ealing) and this is one of the very few Raft listings offering free delivery rather than collection only. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
Gumtree,Raft,Manhattan,https://www.gumtree.com/p/sofas-couches/raft-manhattan-3.5-seater-l-shape-sofa-good-condition/1800449320,https://img.gumtree.com/ePR8PyKf84wPHx7_RYmEag/2df1ef8adba54fb48f_4ee03494164b/86,Light grey,620.00,,,620.00,no,second-hand,yes,3.5,chaise,,,226,112,90,,,,,,yes,,,,,,,,"BEST MATCH IN THIS LIST: genuine Raft Manhattan 3.5-seater L-shape at exactly the 112cm depth the buyer wants, 226cm wide so inside the 250cm limit, recently professionally cleaned, covers removable and washable, pet and smoke free home. Seller in Wimbledon Park, London SW19; collection only. The same seller has this on eBay at £771.70, so Gumtree is £152 cheaper. Second-hand stock is transient; this row may go stale quickly."
Gumtree,Raft,Oscar,https://www.gumtree.com/p/sofas-couches/raft-oscar-sofa-brown-leather-good-condition/1801788260,https://img.gumtree.com/ePR8PyKf84wPHx7_RYmEag/84ffc32bd8264c5bb4_192c81f69523/86,Brown leather,350.00,,,350.00,no,second-hand,yes,,none,,,,,,,,,Leather,,,,,,,,,,"Genuine Raft Oscar in brown leather, well used with some wear on the cushions. Cheapest genuine Raft found in central London. Seller in West Dulwich, London SE21 (near West Dulwich station); collection only, viewing welcome. Second-hand stock is transient; this row may go stale quickly."
Gumtree,Raft,Manhattan,https://www.gumtree.com/p/sofas-couches/beautiful-raft-manhattan-4-seater-sofa-in-a-gorgeous-neutral-soft-sage-beige-colour/1801438019,https://img.gumtree.com/ePR8PyKf84wPHx7_RYmEag/3226ae8be7a24184b0_6f91dcdbaf05/86,Neutral / soft sage-beige,350.00,2456,,350.00,no,second-hand,yes,4,none,,,,,,,,,,,,,,,,,,,"Genuine Raft Manhattan 4-seater in exactly the plump neutral colourway the buyer wants, approx 15 years old but described as exceptionally well cared for; all matching cushions included, pet and smoke free home. No dimensions published - ask the seller for width and depth before travelling. Seller in East Dulwich, London; collection only, buyer arranges transport. Second-hand stock is transient; this row may go stale quickly."
Gumtree,Raft,Melrose,https://www.gumtree.com/p/sofas-couches/raft-melrose-sofa-3-seater/1508720922,https://img.gumtree.com/ePR8PyKf84wPHx7_RYmEag/568bf55ef4f34743b6_93d314d193b9/86,J Brown Paolo 238 Pearl,900.00,,,900.00,no,second-hand,yes,3,none,,,203,99,90,,,,J Brown Paolo 238 Pearl (Grade A),yes,,,,,,,,,"Genuine Raft Melrose 3-seater bought May 2024, described as like new with no signs of wear, with premium stain guard protection the seller paid £100 extra for. Sofa only, cushions not included, no chaise or footstool. Seller in Hammersmith, London W6; collection only. Second-hand stock is transient; this row may go stale quickly."
Gumtree,Raft,Manhattan,https://www.gumtree.com/p/sofas-couches/raft-manhattan-sofa/1801345887,https://img.gumtree.com/ePR8PyKf84wPHx7_RYmEag/058905bc379647d480_a4cd1065cc82/86,Soft grey,400.00,,,400.00,no,second-hand,yes,,none,,,,,,,,,,,,,,,,,,,"Genuine Raft Manhattan, seller states approx £4,000 new, slight signs of use. Scatter cushions and arm tables not included but can be bought from Raft. Seller in Shoreham-by-Sea, West Sussex; collection only, viewing welcome. This looks like the same sofa the seller also lists on eBay at £567.70 (where it is described as a 245cm sectional with chaise) - Gumtree is £168 cheaper. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Camerich,Lazytime Plus (Deep) 2-seater,https://www.ebay.co.uk/itm/297769452021,https://i.ebayimg.com/images/g/v3AAAeSw-4xokhI~/s-l1600.webp,GRACE-04 neutral,950.00,2520,,950.00,no,second-hand,yes,2,none,,,190,110,62,,39,,GRACE-04,yes,,,,,none,,,,"Closest non-Raft match to the Loft brief: Camerich Lazytime Plus in the DEEP configuration at 110cm depth, low 62cm back, neutral fabric, matte black legs. Bundle also includes 2 large matching cushions and a Camerich Lazytime narrow side table. Excellent condition. Seller in Hackney, London E9; collection only, two people recommended, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Camerich,Lazytime Plus 3-seater + footstool,https://www.ebay.co.uk/itm/318393678124,https://i.ebayimg.com/images/g/91sAAeSwKRJqHWAa/s-l1600.webp,Grey,669.70,,,669.70,no,second-hand,yes,3,footstool,,,230,96,63,,,,,,,foam,,,none,,,,"Camerich Lazytime Plus 3-seater plus a MATCHING FOOTSTOOL (96 x 96 x 35cm), loose back cushions and the low profile the buyer wants. Slightly frayed at the bottom on each side. Seller in London NW10 (Willesden); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Camerich,L-shaped corner with chaise,https://www.ebay.co.uk/itm/267713501555,https://i.ebayimg.com/images/g/i6UAAeSwAMtqQ5eA/s-l1600.webp,Grey,250.30,,,250.30,no,second-hand,yes,4,chaise,,,250,218,67,,38,,,,,,,,none,,,,"Camerich L-shaped 4-seater with chaise, right on the 250cm width limit, 92cm deep on the non-chaise side, low 67cm back. Comes with a spare light grey cover as well as the grey one fitted. Seller states over £4,000 new. Seller in Camberwell, London SE5 - about 3 miles from central; collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Camerich,Clouds Grace L-shaped corner with chaise,https://www.ebay.co.uk/itm/128023160473,https://i.ebayimg.com/images/g/RFUAAeSwls1qfJED/s-l1600.webp,Grey,649.00,3385,,649.00,no,second-hand,yes,3,chaise,,,221,,85,,,,100% polyester,,,feather-blend,,,none,,,,"Camerich Clouds Grace modular corner with a deep chaise section, foam-and-feather fill, large plump back cushions, low-profile design - the plump-cushion look the buyer is after. Seller in Greenford / Harrow UB6, west London; collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Camerich,Notting (small L-shape chaise),https://www.ebay.co.uk/itm/136802418109,https://i.ebayimg.com/images/g/5V4AAeSwd-xpLG7P/s-l1600.webp,(not stated),599.99,,,599.99,no,second-hand,yes,2,chaise,,,184,158,,,,,,,yes,,,,none,,,,"Camerich Notting small L-shape chaise, only 184cm wide - the narrowest chaise arrangement the seller could find, good if the room is tight. 92cm deep on the upright seating side. Bought October 2021 for £2,475, light use. Detachable cleanable fabric, 2 scatter cushions included. Seller in Princes Risborough HP27, Buckinghamshire (approx 40 miles from London); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Loaf,Wodge Modular (large right-hand chaise),https://www.ebay.co.uk/itm/398311580519,https://i.ebayimg.com/images/g/4OEAAeSwpN5qiGqg/s-l1600.webp,Blue Clever Softie,99.99,3955,,99.99,no,second-hand,yes,4,chaise,right,yes,328,,90,,,Track,Clever Softie,,,,,,none,,,,"AUCTION listing (price shown is the current bid, could rise a lot) - Loaf Wodge modular with right-hand chaise, bought new for £3,955 in 2021, deep-cleaned annually. Two dogs in the home, so expect some hair and budget for a professional clean. 328cm wide, well over the 250cm limit, but it is modular. Seller in Penge, London SE20; COLLECTION ONLY from south-east London, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Loaf,Chaise longue 3-seater,https://www.ebay.co.uk/itm/137642138145,https://i.ebayimg.com/images/g/jRgAAeSw0yNqhpnH/s-l1600.webp,Beige,208.70,,,208.70,no,second-hand,yes,3,chaise,,,210,170,,,,,,,,,,,none,,,,"Loaf beige 3-seater with chaise, 210cm wide and 170cm deep - inside the width limit. Very thin listing: no model name, no condition detail, so ask the seller. The listing quotes a height of 40cm which looks like the seat height rather than overall height, so overall height is left blank here. Seller in Balham, London SW12; collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Loaf,Crumpet Love Seat with chaise,https://www.ebay.co.uk/itm/236995524753,https://i.ebayimg.com/images/g/3DQAAeSwyRFqeHTu/s-l1600.webp,Sketchpad Clever Woolly,873.70,,,873.70,no,second-hand,yes,2,chaise,,,124,133,80,112,,,Clever Woolly,yes,,feather-blend,,,none,,,,"112cm SEAT depth - the single best leg-support number in this list, and a discontinued configuration (Loaf no longer sells Crumpet love seats with a chaise). Only 124cm wide though, so it is a two-seater snug rather than a main sofa. 2 years old, excellent used condition apart from minor damage to the back left of the backrest. Includes 2 matching 45cm cushions. Seller in High Wycombe / Princes Risborough HP27; collection preferred, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,sofa.com,Otto RHF chaise,https://www.ebay.co.uk/itm/136051799371,https://i.ebayimg.com/images/g/vaIAAOSw-5toWoJT/s-l1600.webp,Charcoal brushed linen cotton,746.20,3300,,746.20,no,second-hand,yes,4,chaise,right,,266,181,94,,,,Brushed linen cotton,,yes,feather,,,none,,,,"sofa.com Otto with right-hand chaise, feather filled, fully removable covers, splits into two parts for moving. 266cm wide, over the 250cm limit. Used condition, seller open to offers. Seller in Chingford, London E4 9RA; collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,sofa.com,Otto Medium LHF chaise,https://www.ebay.co.uk/itm/188516499575,https://i.ebayimg.com/images/g/hjQAAeSwGiFqMFe5/s-l1600.webp,Linwood Omega Crimson velvet,363.70,2580,,363.70,no,second-hand,yes,4,chaise,left,,266,,94,,,,Linwood Omega velvet,,,feather-blend,,,none,,,,"sofa.com Otto Medium with left-hand chaise, feather-and-foam fill; bought a year ago for £2,580 including £1,070 of Linwood velvet, described as great condition. Cheapest chaise sofa of this quality found in zone 1-2. 266cm wide, over the 250cm limit. Seller in Islington, London N1; collection or buyer arranges a courier, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,sofa.com,Izzy Medium LHF chaise,https://www.ebay.co.uk/itm/287534545919,https://i.ebayimg.com/images/g/j9IAAeSwbEhqeWG5/s-l1600.webp,Oxford blue brushed linen cotton,1021.60,2480,,1021.60,no,second-hand,yes,,chaise,left,,259,164,87,60,53,Square,Brushed linen cotton,,,feather-blend,,,none,,,,"Spec-wise the nearest sofa.com equivalent of the brief: deep feather-wrapped foam seats, feather-and-fibre backs, SQUARE ARMS, splits into two sections for transport. Standard (non-chaise) depth is 97cm. 259cm wide, just over the 250cm limit. Seller in Oxford OX2 (approx 60 miles); collection from Oxford or buyer arranges a courier, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Habitat,Kasha L corner,https://www.ebay.co.uk/itm/389538180746,https://i.ebayimg.com/images/g/K00AAeSw1u1pdmvf/s-l1600.webp,Brown Italian woven fabric,822.70,2300,,822.70,no,second-hand,yes,5,chaise,left,,260,79,74,,40,,Italian woven fabric,,yes,feather-blend,,,none,,,,"Habitat's premium Kasha range: contemporary low platform design with soft feather-and-fibre cushions and zipped removable covers, back cushions detach for moving through doorways. Chaise side 210cm, short side 190cm, 260cm total width (just over the limit). Only 79cm deep, so much shallower than a Raft Loft. Very good condition, smoke and pet free. Seller in Battersea, London SW11; collection only from London, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Habitat,Modular 3-piece corner,https://www.ebay.co.uk/itm/267760599166,https://i.ebayimg.com/images/g/r6YAAeSwhQNqVPgh/s-l1600.webp,Dark grey,104.70,,,104.70,no,second-hand,yes,,none,,yes,305,110,60,,37,,,,yes,,Wood,,none,,,,"AUCTION listing (price shown is the current bid) - 110cm DEEP and only 60cm high, which is very close to the Loft's low-and-deep proportions, at the cheapest price in this list. Three pieces: two 195 x 110cm arm units and a 110 x 110cm corner, 305 x 305cm placed together. Comes with 5 back and 5 small cushions. Wear consistent with age. Seat and cushion covers removable. Seller in Shepherds Bush, London W12 8EU; collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
Gumtree,John Lewis,New York 'Loft-Style' 3.5-seater LH L-shaped chaise,https://www.gumtree.com/p/sofas-couches/modular-3.5-seater-left-hand-l-shaped-chaise-sofa-2-piece-grey/1514901992,https://img.gumtree.com/ePR8PyKf84wPHx7_RYmEag/2dc3dd6234a64dfd90_f7dd5239e83d/86,Gun metal / graphite grey,650.00,,150,800.00,no,second-hand,yes,3.5,chaise,left,yes,,,,,,,Cotton-type (unlabelled),,yes,feather,,,,by arrangement,,,"Ex John Lewis 'New York Loft-Style' - name and look are the closest high-street analogue to the Raft Loft. Cushions are extremely generously FEATHER filled, bases medium-firm, backs plush; splits into 2 pieces for different layouts; all cushion covers removable and freshly washed. Honest fault list from the seller: a small taped tear in the chaise base fabric (hidden under the cushion), taped tears in the underside lining, light wear where the two pieces meet at the back, and slight sun fade on the right-hand exterior. No dimensions published - ask before travelling. Seller in Twickenham TW1, south-west London; collection preferred, or seller can arrange a man-with-a-van for a guide £150 (London only) and will refund any difference. Second-hand stock is transient; this row may go stale quickly."
Gumtree,Habitat,Sidney modular corner (3 pieces),https://www.gumtree.com/p/sofas-couches/habitat-sidney-genuine-black-leather-modular-corner-sofa-3-pieces-£499-ono/1800954054,https://img.gumtree.com/ePR8PyKf84wPHx7_RYmEag/5292ec43e59148bb96_439d70605149/86,Black leather,499.00,,,499.00,no,second-hand,yes,,none,,yes,300,220,,,,,Leather,,,,,,,,,,"Genuine leather Habitat Sidney modular corner, low-profile contemporary design, 3 separate modules (two 110 x 110cm corner/end units and a 190 x 110cm three-seat centre), approx 300 x 220cm assembled, rearrangeable. Includes 4 matching leather cushions. Leather rather than the plump neutral fabric the buyer wants, but it is a genuinely deep low modular for the money. Price is ono. Seller in Dalston, London E8; collection only, large and heavy, needs two people and suitable transport. Second-hand stock is transient; this row may go stale quickly."
Gumtree,Swyft,Model 03 3-seater + ottoman,https://www.gumtree.com/p/sofas-couches/swyft-model-3-3-seater-modular-sofa-and-ottoman-in-colour-pumice-/1800245395,https://img.gumtree.com/ePR8PyKf84wPHx7_RYmEag/cf6df3e75ac7404f92_8c347411260f/86,Pumice,1200.00,3129,,1200.00,no,second-hand,yes,3,footstool,,yes,,,,,,,,,,,,,,,,,"Right at the £1,200 budget ceiling. Swyft Model 03 3-seater modular WITH a matching ottoman, exceptional condition, lightly used and cleaned; seller says the pair currently lists on Swyft for £3,129. Measurements are only in the listing photos, not the text, so no dimensions recorded here - ask the seller. Seller in Wanstead, London E11; collection only, a van is needed. Second-hand stock is transient; this row may go stale quickly."
