retailer,brand,model,product_url,colourway_shown,colourways_available,price_gbp,delivery_cost_gbp,assembly_cost_gbp,landed_cost_gbp,over_budget,arrives_assembled,mounting,top_width_cm,top_depth_cm,top_load_kg,overall_width_cm,overall_depth_cm,overall_height_cm,bays_json,back_panel,cable_management,frame_material,finish_material,leg_style,warranty,spare_parts_available,returns_window,delivery_lead_time,review_score,review_count,notes
Dunelm,GFW,Galicia 180cm LED Wall TV Unit,https://www.dunelm.com/product/galicia-180cm-led-wide-wall-tv-unit-1000156242,,,199,12.95,,211.95,,self,wall-mounted,180,38,,180,38,30,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,,,,,,,,,,"Wall-mounted floating unit, so out of scope under R8 and dropped at import."
Tikamoon,Tikamoon,Anoa Solid Oak TV Stand 180cm,https://www.tikamoon.co.uk/art-anoa-solid-oak-tv-stand-180-cm-3787.htm,Pale solid oak,,899,,,899,yes,yes,floor,180,45,,180,45,,[],,,Solid oak,,Castors,,,,,,,"Well over budget at GBP 899, kept in the corpus as the reference point for what a 45cm-deep solid oak unit costs."
Dunelm,Dunelm,"Olney TV Unit for TVs up to 55""",https://www.dunelm.com/product/olney-tv-unit-for-tvs-up-to-55-1000214662?defaultSkuId=30884416,Stone,,149,12.95,,161.95,,self,floor,119.5,39.0,,119.5,39.0,45.3,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 52.5, ""depthCm"": null, ""heightCm"": 11.0}, {""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"90% - Particleboard, 10% - MDF, Metal Handle",Painted,,,,Free returns,,4.5,222,"Storage: 2 Drawers, Open Shelf, With Drawers. Max TV Up To 55"". Unit weight 29.35kg."
Dunelm,Loma Living,"Mateo Extra Wide TV Unit For TVs Up To 75""",https://www.dunelm.com/product/mateo-extra-wide-tv-unit-for-tvs-up-to-75-1000260832?defaultSkuId=30927345,Oak,,299,12.95,,311.95,,self,floor,180.0,39.5,,180.0,39.5,45.0,"[{""kind"": ""open"", ""count"": 6, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"PB, MDF, Rubber Wood and Paper Foil",,,,,Free returns,,3.4,28,"Storage: 6 Shelves, With Doors. Max TV ?. Unit weight ?."
Dunelm,Lassic,"Cosmo 2 Door LED TV for TVs up to 65""",https://www.dunelm.com/product/cosmo-2-door-led-tv-for-tvs-up-to-65-1000292098?defaultSkuId=31056373,White,,63.2,12.95,,76.15,,self,floor,160.0,40.0,,160.0,40.0,38.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 60.0, ""depthCm"": 38.0, ""heightCm"": 15.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF & Glass,,,,,Free returns,,2.7,3,"Storage: 2 Doors. Max TV Up To 65"". Unit weight ?."
Dunelm,Dunelm,"Malik Low Super Wide TV Unit for TVs up to 85""",https://www.dunelm.com/product/malik-extra-wide-tv-unit-for-tvs-up-to-65-1000253352?defaultSkuId=30927351,Walnut Effect,,249,12.95,,261.95,,self,floor,200.0,38.0,,200.0,38.0,32.0,"[{""kind"": ""open"", ""count"": 8, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF and PB,,,,,Free returns,,4.3,28,"Storage: 4 Doors, 8 Shelves, With Doors. Max TV Up To 85"". Unit weight ?."
Dunelm,Dunelm,"Olney Extra Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/olney-extra-wide-tv-unit-stone-1000231952?defaultSkuId=30918567,Light Oak Effect,,219,12.95,,231.95,,self,floor,180.0,39.0,,180.0,39.0,45.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 82.5, ""depthCm"": null, ""heightCm"": 13.0}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 82.5, ""depthCm"": null, ""heightCm"": 15.0}, {""kind"": ""door"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Top & Main Body: Particleboard Paper Foil, Handle: Metal",Painted,,,,Free returns,,4.3,62,"Storage: 2 Shelves, 4 Doors, With Doors. Max TV Up To 80"". Unit weight 40.25kg."
Dunelm,Dunelm,"Bryant Extra Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/bryant-extra-wide-tv-unit-1000214661?defaultSkuId=30802034,Wood Brown,,249,12.95,,261.95,,self,floor,180.0,38.0,,180.0,38.0,40.5,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 57.5, ""depthCm"": null, ""heightCm"": 10.0}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 57.5, ""depthCm"": null, ""heightCm"": 10.0}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 57.5, ""depthCm"": null, ""heightCm"": 10.0}, {""kind"": ""drawer"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"91% Certified Responsibly Sourced Particle Board, 8% Certified Responsibly Sourced MDF, 1% Iron",Wood Effect,,,,Free returns,,4.6,69,"Storage: 3 Drawers, Open Shelf, With Drawers. Max TV Up To 80"". Unit weight ?."
Dunelm,Seconique,"Leon 2 Door TV Unit Stand for TVs up to 65"", Oak Effect",https://www.dunelm.com/product/leon-2-door-tv-unit-stand-for-tvs-up-to-65-oak-effect-1000240846?defaultSkuId=30913953,Brown,,87.2,12.95,,100.15,,self,floor,139.5,39.5,,139.5,39.5,48.0,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Composite Board and 3D Paper Veneer. Metal Handles.,Wood Effect,,,,Free returns,,4.7,24,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 65"". Unit weight ?."
Dunelm,Dunelm,"Georgi Extra Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/georgi-extra-wide-tv-unit-black-1000201605?defaultSkuId=30824750,Walnut,,249,12.95,,261.95,,self,floor,180.0,39.6,,180.0,39.6,52.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 45.4, ""depthCm"": null, ""heightCm"": 29.2}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Melamine, paint, lacquer, steel, powder coating",Painted,,,,Free returns,,4.7,313,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 80"". Unit weight ?."
Dunelm,Dunelm,"Olney Corner TV Unit for TVs up to 55""",https://www.dunelm.com/product/olney-corner-tv-unit-stone-1000214663?defaultSkuId=30800661,Stone,,129,12.95,,141.95,,self,floor,120.0,45.0,,120.0,45.0,45.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"95% - Particleboard, 5%-MDF, Handle: Metal",Painted,,,,Free returns,,4.8,345,"Storage: 1 Door, Open Shelf, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,Dunelm,"Fulton Pine Extra Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/fulton-extra-wide-pine-tv-unit-1000190703?defaultSkuId=30728486,Fulton Pine,,219,12.95,,231.95,,self,floor,180.0,38.0,,180.0,38.0,42.0,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"90% Particleboard, 5% MDF, 5% Metal",Wood Effect,,,,Free returns,,4.6,177,"Storage: 2 Doors, 2 Drawers, Doors & Drawers, Open Shelf. Max TV Up To 80"". Unit weight 39.3kg."
Dunelm,Dunelm,"Fulton Wide TV Unit for TVs up to 67""",https://www.dunelm.com/product/fulton-wide-tv-stand-1000117134?defaultSkuId=30569993,Fulton Pine,,199,12.95,,211.95,,self,floor,150.0,42.0,,150.0,42.0,45.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 44.3, ""depthCm"": null, ""heightCm"": 14.5}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 44.3, ""depthCm"": null, ""heightCm"": 14.5}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 55.0, ""depthCm"": null, ""heightCm"": 13.8}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"85% Particleboard, 10% Metal, 5% MDF",Wood Effect,,,,Free returns,,4.6,112,"Storage: 2 Doors, 2 Shelves, Doors & Drawers, Open Shelf. Max TV Up To 65"". Unit weight ?."
Dunelm,Lassic,"Cosmo 2 Door LED TV for TVs up to 55""",https://www.dunelm.com/product/cosmo-2-door-led-tv-for-tvs-up-to-55-1000292096?defaultSkuId=31056338,Black,,55.2,12.95,,68.15,,self,floor,120.0,40.0,,120.0,40.0,38.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 40.0, ""depthCm"": 38.0, ""heightCm"": 15.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF & Glass,,,,,Free returns,,5,1,"Storage: 2 Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,Dunelm,"Fulton Pine Effect Corner TV Unit for TVs up to 50""",https://www.dunelm.com/product/fulton-corner-tv-stand-1000117129?defaultSkuId=30569978,Fulton Pine,,169,12.95,,181.95,,self,floor,110.0,48.0,,110.0,48.0,45.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 105.9, ""depthCm"": null, ""heightCm"": 12.8}, {""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"85% Particleboard, 10% Metal, 5% MDF",Wood Effect,,,,Free returns,,4.7,143,"Storage: 2 Drawers, Open Shelf, With Drawers. Max TV Up To 50"". Unit weight ?."
Dunelm,GFW,"Lancaster TV Unit for TVs up to 55""",https://www.dunelm.com/product/lancaster-large-tv-stand-1000169414?defaultSkuId=30705705,Cream,,111.2,12.95,,124.15,,self,floor,130.0,39.5,,130.0,39.5,49.5,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 58.0, ""depthCm"": null, ""heightCm"": 19.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Particle Board,Painted,,,,Free returns,,4.1,22,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight 30kg."
Dunelm,Dunelm,"Wesley Extra Wide TV Unit for TVs up to 65""",https://www.dunelm.com/product/wesley-wide-tv-unit-for-tvs-up-to-65-1000264692?defaultSkuId=30965554,Dark Wood,,279,12.95,,291.95,,,floor,180.0,36.0,,180.0,36.0,46.0,"[{""kind"": ""open"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF,,,,,Free returns,,4.2,9,"Storage: 2 Doors, 3 Shelves, With Doors. Max TV Up To 65"". Unit weight ?."
Dunelm,Lassic,"Cosmo 2 Door LED TV for TVs up to 60""",https://www.dunelm.com/product/cosmo-2-door-led-tv-for-tvs-up-to-60-1000292097?defaultSkuId=31056362,White,,60,12.95,,72.95,,self,floor,140.0,40.0,,140.0,40.0,38.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 50.0, ""depthCm"": 38.0, ""heightCm"": 15.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF & Glass,,,,,Free returns,,3.8,4,"Storage: 2 Doors. Max TV Up To 60"". Unit weight ?."
Dunelm,GFW,"Taranto Wide TV Unit for TVs up to 55""",https://www.dunelm.com/product/taranto-wide-tv-unit-1000221938?defaultSkuId=30860229,Walnut,,139,12.95,,151.95,,self,floor,130.0,39.8,,130.0,39.8,43.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 51.0, ""depthCm"": null, ""heightCm"": 14.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,,Wood Effect,,,,Free returns,,4.7,18,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,GFW,"Lancaster TV Unit, Grey and Oak for TVs up to 55""",https://www.dunelm.com/product/lancaster-tv-cabinet-large-1000120460?defaultSkuId=30592825,Grey,,139,12.95,,151.95,,self,floor,130.0,39.5,,130.0,39.5,49.5,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 58.0, ""depthCm"": null, ""heightCm"": 19.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Particle Board,Painted,,,,Free returns,,4.2,45,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,Dunelm,"Olney Super Wide TV Unit for TVs up to 60""",https://www.dunelm.com/product/olney-superwide-tv-unit-for-tvs-up-to-60-1000277403?defaultSkuId=30999036,Light Oak Effect,,279,12.95,,291.95,,self,floor,203.0,39.0,,203.0,39.0,45.5,"[{""kind"": ""open"", ""count"": 6, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Particle board, MDF, Paper Foil, Metal Handle",,,,,Free returns,,3.7,7,"Storage: 4 Doors, 6 Shelves, With Doors. Max TV Up To 60"". Unit weight 46.9kg."
Dunelm,Dunelm,"Watson Extra Wide TV Unit for TVs up to 80"", Wood Effect",https://www.dunelm.com/product/watson-extra-wide-tv-unit-for-tvs-up-to-80-1000292930?defaultSkuId=31029339,Mango Wood Effect,,249,12.95,,261.95,,self,floor,183.8,39.0,,183.8,39.0,46.5,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 43.0, ""depthCm"": 35.0, ""heightCm"": 14.0}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 91.0, ""depthCm"": 39.0, ""heightCm"": 8.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Particle Board, MDF, Metal",,,,,Free returns,,0,0,"Storage: 2 Doors, 2 Drawers, 2 Internal Shelves. Max TV ?. Unit weight ?."
Dunelm,Dunelm,"Jaxon Wide TV Unit for TVs up to 65""",https://www.dunelm.com/product/jaxon-wide-tv-unit-for-tvs-up-to-65-1000264687?defaultSkuId=30965564,Mulberry,,223.2,12.95,,236.15,,,floor,180.0,36.0,,180.0,36.0,46.5,"[{""kind"": ""open"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Painted MDF,,,,,Free returns,,4.3,19,"Storage: 4 Doors, 4 Shelves, With Doors. Max TV Up To 65"". Unit weight 32.5kg."
Dunelm,Dunelm,"Olney Open Corner TV Unit for TVs up to 55"", Stone",https://www.dunelm.com/product/olney-open-corner-tv-unit-for-tvs-up-to-55-stone-1000255861?defaultSkuId=30924848,Stone,,199,12.95,,211.95,,self,floor,130.0,100.0,,130.0,100.0,40.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 90.0, ""depthCm"": null, ""heightCm"": 18.5}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 100.0, ""depthCm"": null, ""heightCm"": 18.5}]",,,"Particleboard, Paper Foil, Metal Handle",,,,,Free returns,,4.5,43,"Storage: Open Shelf. Max TV Up To 55"". Unit weight 34.75kg."
Dunelm,GFW,"Sorrel Wide TV Unit for TVs up to 55"", Wood Effect",https://www.dunelm.com/product/sorrel-wide-tv-unit-for-tvs-up-to-55-wood-effect-1000287981?defaultSkuId=31029320,Light Wood Effect,,249,12.95,,261.95,,self,floor,140.0,39.0,,140.0,39.0,60.5,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Rubberwood,,,,,Free returns,,0,0,"Storage: 1 Drawer, 1 Shelf, 2 Doors. Max TV ?. Unit weight ?."
Dunelm,GFW,"Canyon TV Unit, Oak for TVs up to 65""",https://www.dunelm.com/product/canyon-oak-tv-stand-1000110362?defaultSkuId=30498586,Natural,,143.2,12.95,,156.15,,self,floor,147.0,45.0,,147.0,45.0,60.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 48.0, ""depthCm"": null, ""heightCm"": 24.5}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Particle Board,Oak Effect,,,,Free returns,,4.8,23,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 65"". Unit weight ?."
Dunelm,Dunelm,"Jordyn Extra Wide TV Unit for TVs up to 80"", Mango Wood Effect",https://www.dunelm.com/product/jordyn-extra-wide-tv-unit-for-tvs-up-to-80-mango-wood-effect-1000292925?defaultSkuId=31029356,Mango Wood Effect,,149,12.95,,161.95,,self,floor,185.0,39.5,,185.0,39.5,56.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 60.6, ""depthCm"": 35.0, ""heightCm"": 16.2}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 58.9, ""depthCm"": 35.0, ""heightCm"": 16.2}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 58.9, ""depthCm"": 35.0, ""heightCm"": 16.2}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Particle Board, MDF, Faux Rattan, Pine",Wood Effect,,,,Free returns,,0,0,"Storage: 2 Doors, 3 Shelves. Max TV ?. Unit weight ?."
Dunelm,Dunelm,"Bennie Wide TV Unit for TVs up to 55""",https://www.dunelm.com/product/bennie-wide-tv-unit-for-tvs-up-to-55-1000283200?defaultSkuId=31019098,Stone,,129,12.95,,141.95,,self,floor,150.0,40.0,,150.0,40.0,50.0,"[{""kind"": ""drawer"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Metal,,,,,Free returns,,4.8,6,Storage: 1 Drawer. Max TV ?. Unit weight ?.
Dunelm,Dunelm,"Fulton Pine Ladder Shelf TV Unit for TVs up to 60""",https://www.dunelm.com/product/fulton-ladder-shelf-tv-stand-1000183013?defaultSkuId=30712487,Fulton Pine,,279,12.95,,291.95,,self,floor,153.0,38.0,,153.0,38.0,181.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 148.0, ""depthCm"": null, ""heightCm"": 36.5}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 148.0, ""depthCm"": null, ""heightCm"": 84.5}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 60.0, ""depthCm"": null, ""heightCm"": 12.7}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"87% Particleboard, 10% Metal, 3% MDF",Wood Effect,,,,Free returns,,4.7,236,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 60"". Unit weight ?."
